Description,Headings,Labels
majid al futtaim dubai,"['majidalfuttaim', 'futtaim hypermarkets llc', 'futtaim net profit soars to dhb as retail property operations cash in', 'futtaim', 'futtaim group', 'المكتب الرئيسي لشركة الفطيم', 'الفطيم العقاريه', 'futtaim retail business hurt by gaza war', 'majidalfuttaim photos and videos']",Supermarket
the entertainer fz-llc dubai,"['llc hospitality net', 'entertainer apps on', 'entertainer on the', 'llc', 'entertainer discount publisher', 'entertainer', 'dubai entertainerdxb', 'dubai']",Subscriptions
www.thrillark.com dubai,"['dubai explorer pass book tickets reviews locations thrillark', 'dhabi in dhabi thrillark', 'book exclusive tours dubai save off thrillark', 'boat tours thrillark', 'dubai dubai thrillark', 'contact us thrillark', 'thrillark thrillark photos and videos', 'thrillark all you must know before you go with photos', 'thrillark discover tours attractions local experiences', 'dubai tourist attractions activities thrillark']",Travel
lulu_express spmkt al raha,"['express foursquare', 'lulu mall branch wowdeals', 'express fresh market is now open at tower raha', 'dhabi supermarkets easy uae', 'dhabi yango maps', 'express supermarket sole proprietorship in dhabi', 'mall wowdeals', 'express tower', 'lulu electronic stores mall', 'mall']",Supermarket
adnoc khalifa city-523 abu dhabi,"['city south', 'daar waze', 'adnoc petrol daar al mireef street dhabi', 'adnoc oasis city dhabi localsearchae', 'daar nicelocalae', 'driving directions to city', 'city dhabi localmint', 'car wash distribution', 'service stationkhalifa city', 'adnoc maximum energy minimum emissions']",Transport
cravia inc zaatar w ze abudhabi,"['zeit inc llc careers and employment indeedcom', 'cravia cravia_inc photos and videos', 'zeit abu dhabi madinat zayed restaurant reviews', 'craviacom home', 'inc', 'inc company information contact address website phone', 'uae zeit', 'cravia fajr capital', 'zeit']",Dining
brand bazaar dubai,"['bbz affordable fashion department store group', 'bbz big brands small prices', 'shop bbz online buy latest collections on thstreet uae', 'bazzaar top brands at great prices the outlet village', 'bazaar', 'bazzaar launches its th store in uae group', 'bazaar brands outlet in dubai ibn battuta mall', 'bazzaar', 'bbz my_bbz photos and videos', 'bazaar al ghurair centre']",Shopping
addc abu dhabi,"['شركة أبوظبي للتوزيع الفرع الرئيسي أبوظبي', 'addc abudhabi and adwea abudhabi', 'addc on the', 'addc apps on', 'dhabi distrubution company contact centre', 'water and electricity bill payment tamm', 'all about addc in dhabi services charges more dubizzle', 'dhabi distribution company addc_official']",Utilities
qaser exp.-sole propri abu dhabi,"['capital experience soleproprietorship llc tripadvisor', 'al sarab hotel llc', 'contact us watan', 'policy saadiyat island', 'conditions yas island', 'miral destinations llc policy', 'conditions watan', 'llc in dhabi tel', 'llc dun bradstreet', 'skip the line admission ticket watan dhabi viator']",Travel
lulu raha pharmacy abu dhabi,"['llc dhabi yellow pages uae', 'llc branch malaffi', 'docib raha mall', 'llc dhabi uae business directory', 'llc malaffi dhabi health', 'صيدلية راحة اللولو', 'list of pharmacy branches dhabi', 'نقاطبيع pharmacy abudhabi biodermaae', 'our services pharmacy docib healthcare', 'raha beach branch']",Healthcare
lulu hypermarket- wtc abu dhabi,"[""lulu group to open new hypermarket at abu dhabi's mall"", 'center dhabi lulu catalogs discounts', 'wtc uae offers branch details dealzbook', 'offer booklets hypermarket', 'center branch dhabi wowdeals', 'wtc mall dhabi', 'لولو هايبر ماركت مول مركز التجارة العالمي', 'hypermarket', 'mall al markaziya dhabi zomato', 'wtc']",Supermarket
spinneys-al bandar abu dhabi,"['spinneys dhabi yango maps', 'spinneys supermarket bandar promenade walk street gis', 'bandar marina emirates online', 'liquor dhabi gis', 'bandar branch dhabi location wowdeals', 'beverages uae', 'liquor bandar', 'locations beverages', 'spinneys store list uae', 'bandar supermarkets uae connectae']",Supermarket
windmill general tradi abu dhabi,"['cellar ghantoot what to know before you go with', 'uae', 'order online alcohol liquor beverage shop in dhabi al ain', 'cellar windmillcellar photos and videos', 'llc retailer winesearcher', 'llc dhabi connectae', 'uae waze', 'trading sector m dhabi localsearchae']",Shopping
carrefour-maf mkt yas abu dhabi,"['buy yas island online shop on uae', 'electronics appliances deals up to off uae', 'uae', 'carrefour hypermarket mall abu dhabi wowdeals', 'carrefour weekly offer promotions instore online uae', 'كارفور هايبر ماركت', 'online shopping uae carrefour grocery food electronics more', 'carrefour catalog ramadan promotion march', 'carrefour market', 'hani weiss on majidalfuttaim greatmoments carrefour']",Supermarket
d453-bath & body-al sh abu dhabi,"['homes for sale fox hunt dr d aka d wesley', 'assa mortice lock high security locking', 'carpet my life inci halı dot based nonslip carpet d alkapida', 'vanity light coast lighting', 'official gazette of the united states patent and trademark office', 'assa abloy lock sourcesecuritycom', 'polaroid eyeglasses model pld color size mm', 'cm 訂造洗手盆台面石 infinite bath', 'assa din mm lock highland industrial supplies']",Shopping
