Description,Headings,Labels
majid al futtaim dubai,"['majidalfuttaim', 'futtaim', 'majidalfuttaim photos and videos', 'futtaim group']",Undefined
spinneys al bandar abu dhabi,"['spinneys store list uae', 'contact spinneys uae', 'beverages uae', 'spinneys supermarket bandar promenade walk street gis', 'spinneys market foursquare']",Supermarket
amazon ae dubai,"['dubai amazonae', 'shopping amazonae', 'dubai review rate your customer experience', 'read customer service reviews of amazonae trustpilot', 'apply for commerce license in uae sell on amazonae and']",Shopping
tier ae ride berlin,"['good', 'tier move better on the', 'tier berlinde', 'how to use the tier app vehicles', 'mobility']",Transport
sea view grocery sole abu dhabi,"['location map of hadeel at raha beach psi', 'sole dhabi menu prices restaurant reviews reservations', 'baqala', 'yas bay top waterfront destinations in dhabi best holiday', 'order your grocery shopping online in dubai and dhabi']",Supermarket
urbancuts menbarber abu dhabi,"['top best barber in dhabi verso', 'barbershop wtc mall dhabi fresha', 'barbershop', 'barbershop al hadeel', 'cuts men barber saloon llc yango maps']",Personal Care
carrefour maf mkt mcc abu dhabi,"['enjoy centre mirdif best shopping mall in dubai', 'online shopping uae grocery food electronics more', 'carrefour market', 'discover our retail brand futtaim', 'monitoring control center home']",Shopping
brands for less dubai,"['less brandsforless photos and videos', 'less uae home', ""bfl group the world' leading offprice retailer of fashion"", 'less', 'app on the']",Shopping
windmill general tradi abu dhabi,"['trading mw musaffa dhabi uae', 'in khalifa city dhabi', 'in dhabi']",Supermarket
miniso general trading abudhabi,"['trading shj uae companies directory', 'uae official miniso_uae photos and videos', 'trading careers naukrigulfcom', 'uae', 'uae retail apollo']",Supermarket
redtag abu dhabi,"['fashion redtag', 'redtag fashion', 'redtag yas mall', 'dhabi contact numbers opening times locations', 'dhabi gis']",Shopping
aman taxi abu dhabi,"['taxi in musaffah dhabi uae customer care phone', 'taxi service', 'amantaximena taxi', 'taxi driver dhabi az for taxi indeedcom', 'sultan koraish taxi']",Transport
mcdonalds mycty masdar abudhabi,"['city restaurant dhabi', 'mcdonalds masdar fast food restaurant', ""mcdonald' menu for delivery in city talabat"", 'city menupagesae', 'menu of dhabi zomato']",Dining
national taxi abu dhabi,"['taxi on the', 'uae', 'llc', 'contact uae', 'taxi tariff uae']",Transport
maltainen metso vantaa        eur,['maltainen metso'],Undefined
hsl tikkurila as silta vantaa       eur,"['ratikka hankesuunnitelma', 'kohteeseen kuusijärvi vantaa moovit', 'himos to vantaa ways to travel via train bus and car romerio', 'infoa vierailulle tiedekeskus heureka', 'reittiopas liput ja hinnat asiakaspalvelu hslfi']",Transport
stockmann tampere tampere         eur,"['kuinka päästä kohteeseen tampere kulkuvälineellä', 'tampere shopping centre tourist places', 'tampere inspiroidu', 'tampere', 'tampere arrivalguidescom']",Shopping
moro sky bar  ssh torn tampere        eur,"['bar moroskybar photos and videos', 'bar raflaamofi', 'bar visit lakeland finland', 'bar drink menu raflaamofi', 'modern building of the torni sokos with bar on']",Undefined
k supermarket hameenka tampere         eur,"['near kulttuuriravintola kivi tampere hotels tripcom', 'cheap food tampere finland last updated april yelp', 'hämeenkatu tampere ruoka', 'latest reviews from tampere ratebeer', 'the best restaurants to have dinner wanderlog']",Supermarket
hmshost helsinki airpo helsinki        eur,"['مطار هلسنكي فانتا', 'forex money exchange finavia', 'airport finland wegoae', 'airport airport suppliers', 'finavia']",Supermarket
paulyasmallqlub abu dhabi,"['بول كافيه', 'paul bakery restaurant', 'appaloosa sports bar']",Supermarket
tawasul transport llc abu dhabi,"['transport', 'tawasul profile video by transport', 'transport taxi service abu dhabibook dhabi', 'transport das holding', 'transport launching first hydrogenpowered dhabi']",Transport
daiso japan value stor dubai,"['store locator japan middle east', 'japan nakheelmall', 'store llc oud metha dubai citysearchae', 'store in uae branches gis', 'dubai marina mall']",Shopping
vr lippukauppa helsinki        eur,"['vr matkalla kuuntelimme suomalaisia ja laskimme hintoja', 'miten pääset kohteeseen vr lipunmyynti kaupungissa helsinki', 'junat helsinkiekenäs omio', 'junaliput vr', 'vr laskee hintoja helsingin ja turun välillä edullisimmillaan']",Healthcare
naughty brgr tampere tampere        eur,['naughty brgr aleksanterinkatu'],Undefined
cesumar maringa         brl,"['abroadsummary ppt slideshare', 'abroad essay tips goabroadcom', 'abroad summary indonesia mengglobal', 'go abroad american university of sharjah', 'how was your masters experience in country abroad summarize']",Undefined
arnolds citycenter helsinki        eur,['arnolds helsinki citycenter'],Supermarket
hsl lentoasema l    vantaa       eur,"['get to hsl v helsinkivantaa lentoasema t laituri', 'journey planner tickets and fares customer service hslfi', 'travel information eaa congress', 'airport', 'get from airport to city centre in minutes']",Transport
